"SucursalID","Nombre","CodigoBarra","Categoria","FechaCaducidad","Marca","Precio","Stock"
"S01","Salami FrescoMar 108","0200000425792","Embutidos","2025-02-05","FrescoMar","7.2","314"
"S05","Crema AguaPura 155","0200000034581","Lacteos","2026-06-17","AguaPura","33.79","336"
"S06","Crema BioNatural 995","0200000029462","Lacteos","2025-11-27","BioNatural","133.82","453"
"S03","Refresco cola DelCampo 946","0200000054493","Bebidas","2026-01-25","DelCampo","84.36","333"
"S04","Miel BioNatural 708","0200000413877","Conservas","2025-11-14","BioNatural","4.39","334"
"S02","Desodorante Nutrimax 427","0200000337015","Higiene","2027-06-04","Nutrimax","69.8","284"
"S06","Pan integral Delicias 488","0200000072272","Panaderia","2027-06-16","Delicias","34.25","139"
"S02","Tostadas Gourmet GT 228","0200000099007","Panaderia","2028-09-12","Gourmet GT","79.71","219"
"S03","Mayonesa Nutrimax 964","0200000521370","Condimentos","2028-06-04","Nutrimax","39.65","41"
"S04","Pan blanco Selecta 281","0200000067212","Panaderia","2025-06-12","Selecta","78.09","250"
"S02","Frijoles refritos Delicias 373","0200000402848","Conservas","2028-07-11","Delicias","83.11","343"
"S03","Pasta dental Delicias 547","0200000332245","Higiene","2028-03-24","Delicias","74.26","291"
"S03","Galletas Nutrimax 445","0200000081237","Panaderia","2028-08-15","Nutrimax","38.47","13"
"S05","Papas fritas Selecta 405","0200000353097","Snacks","2025-04-21","Selecta","120.67","102"
"S04","Brócoli NaturVida 409","0200000164881","Verduras","2027-02-05","NaturVida","124.28","491"
"S06","Blanqueador Selecta 775","0200000289527","Limpieza","2026-06-17","Selecta","114.51","392"
"S06","Banano Delicias 976","0200000174913","Frutas","2028-09-17","Delicias","94.02","264"
"S06","Chocolates AguaPura 545","0200000373603","Snacks","2027-02-04","AguaPura","29.02","58"
"S01","Frijoles refritos Selecta 197","0200000401738","Conservas","2025-12-19","Selecta","101.32","144"
"S04","Frijol negro BioNatural 153","0200000240030","Cereales","2025-01-13","BioNatural","130.42","469"
"S05","Maní salado BuenSabor 860","0200000355370","Snacks","2027-06-30","BuenSabor","5.76","396"
"S03","Pan integral NaturVida 454","0200000079383","Panaderia","2025-03-30","NaturVida","106.53","35"
"S05","Margarina DelCampo 701","0200000477182","Aceites","2026-03-31","DelCampo","134.74","499"
"S03","Pimienta Selecta 421","0200000495035","Condimentos","2027-05-11","Selecta","48.5","469"
"S01","Brócoli Selecta 591","0200000162003","Verduras","2027-04-23","Selecta","90.97","344"
"S02","Barras granola Nutrimax 357","0200000369268","Snacks","2026-03-31","Nutrimax","7.14","432"
"S04","Agua purificada NaturVida 467","0200000040783","Bebidas","2027-02-08","NaturVida","141.35","460"
