 "SucursalID","Nombre","CodigoBarra","Categoria","FechaCaducidad","Marca","Precio","Stock"
"S053","Arroz DelCampo 924","020000017780","Frutas","2026-11-20","DelCampo","86.1","310"
"S138","Pan integral Delicias 820","020000048356","Panaderia","2026-06-02","Delicias","152.48","268"
"S174","Arroz AguaPura 238","020000063948","Condimentos","2025-04-02","AguaPura","158.81","448"
"S168","Desodorante BioNatural 355","020000029168","Cereales","2026-09-22","BioNatural","132.9","394"
"S174","Papas fritas Selecta 245","020000085684","Aceites","2026-06-05","Selecta","101.19","197"
"S116","Refresco cola AguaPura 512","020000077582","Cereales","2026-06-24","AguaPura","111.76","454"
"S095","Brócoli Selecta 435","020000086278","Embutidos","2025-06-10","Selecta","117.49","239"
"S163","Queso Delicias 970","020000018300","Congelados","2027-12-01","Delicias","64.84","500"
"S110","Arroz DelCampo 606","020000045197","Higiene","2026-07-05","DelCampo","55.37","300"
"S999","Helado vainilla Selecta 907","020000055054","Condimentos","2025-03-11","Selecta","9.26","325"
"S118","Salami AguaPura 978","020000030707","Verduras","2027-06-24","AguaPura","2.11","495"
"S110","Tostadas BioNatural 765","020000049566","Bebidas","2026-06-16","BioNatural","16.75","189"
"S065","Refresco cola Delicias 780","020000095054","Bebidas","2025-03-18","Delicias","64.62","161"
"S186","Yogurt DelCampo 539","020000095915","Lacteos","2025-06-14","DelCampo","2.17","249"
"S020","Desodorante BuenSabor 331","020000078084","Aceites","2027-06-01","BuenSabor","3.47","361"
"S088","Arroz AguaPura 980","020000065353","Cereales","2025-08-29","AguaPura","77.48","122"
"S099","Refresco cola AguaPura 205","020000051071","Higiene","2026-08-06","AguaPura","23.67","401"
"S193","Chuleta BioNatural 756","020000098753","Bebidas","2025-04-21","BioNatural","85.82","9"
"S157","Pimienta BioNatural 550","020000056030","Cereales","2026-02-11","BioNatural","101.24","82"
"S106","Pechuga pollo Selecta 980","020000038474","Lacteos","2025-06-25","Selecta","24.12","68"
"S151","Agua mineral Gourmet GT 459","020000066280","Higiene","2025-09-14","Gourmet GT","41.15","335"
"S022","Mayonesa NaturVida 715","020000088644","Cereales","2026-07-08","NaturVida","125.08","358"
"S007","Chuleta Nutrimax 310","020000077862","Frutas","2027-10-11","Nutrimax","31.81","205"
"S076","Pimienta FrescoMar 902","020000041370","Verduras","2027-01-31","FrescoMar","19.81","260"
"S164","Pechuga pollo AguaPura 640","020000011581","Higiene","2026-09-11","AguaPura","caro","445"
"S146","Jabón Delicias 659","020000099514","Bebidas","2027-07-24","Delicias","152.8","399"
"S019","Salami BuenSabor 169","020000011807","Panaderia","2026-02-16","BuenSabor","8.29","35"
"S102","Aceite oliva Nutrimax 743","020000075673","Congelados","2027-04-01","Nutrimax","68.92","210"
"S022","Pimienta NaturVida 650","020000090746","Bebidas","2026-06-23","NaturVida","15.21","45"
"S131","Detergente DelCampo 927","020000030365","Limpieza","2026-10-02","DelCampo","63.74","329"
"S196","Arroz AguaPura 417","020000067342","Cereales","2026-04-04","AguaPura","11.15","49"
"S112","Miel Selecta 726","020000089800","Embutidos","2026-08-27","Selecta","107.24","341"
"S190","Pan integral AguaPura 112","020000027984","Cereales","2024-12-25","AguaPura","27.89","492"
"S089","Aceite oliva NaturVida 901","020000043980","Bebidas","2027-01-02","NaturVida","22.06","404"
"S069","Agua mineral AguaPura 889","020000013847","Higiene","2027-04-30","AguaPura","44.97","37"
"S068","Yogurt BuenSabor 742","020000020101","Verduras","2027-06-22","BuenSabor","82.7","33"
"S128","Chuleta BuenSabor 270","020000058193","Bebidas","2026-05-08","BuenSabor","124.19","462"
